random.ID,year,semester,subjectCode,num
HGBEJI92,2013,1,GEK10008,1
HGBEJI92,2013,1,GEK10035,2
HGBEJI92,2013,1,GEK10045,3
HGBEJI92,2013,1,GEK10062,1
HGBEJI92,2013,1,ISL10075,5
HGBEJI92,2013,1,MEC10002,1
HGBEJI92,2013,1,PCO10013,14
HGBEJI92,2013,1,PCO10058,6
HGBEJI92,2013,2,GEK10002,1
HGBEJI92,2013,2,GEK10009,1
HGBEJI92,2013,2,GEK10011,1
HGBEJI92,2013,2,GEK10015,1
HGBEJI92,2013,2,GEK20021,1
HGBEJI92,2013,2,GEK20045,3
HGBEJI92,2013,2,GEK20053,1
HGBEJI92,2013,2,ISL10076,4
HGBEJI92,2013,2,MEC10001,3
HGBEJI92,2013,2,PCO10057,12
HGBEJI92,2014,1,GEK10016,1
HGBEJI92,2014,1,GEK20001,1
HGBEJI92,2014,1,GEK20008,1
HGBEJI92,2014,1,GEK20028,1
HGBEJI92,2014,1,GEK40096,3
HGBEJI92,2014,1,MEC20002,2
HGBEJI92,2014,1,MEC20006,2
HGBEJI92,2014,1,MEC20055,3
HGBEJI92,2014,1,PCO20004,2
DoWup2SG,2013,1,GEK10001,1
DoWup2SG,2013,1,GEK10008,1
DoWup2SG,2013,1,GEK10015,1
DoWup2SG,2013,1,GEK10038,4
DoWup2SG,2013,1,GEK10045,5
DoWup2SG,2013,1,GEK10055,4
DoWup2SG,2013,1,GEK10096,2
DoWup2SG,2013,1,ISL10075,8
DoWup2SG,2013,1,PCO10012,17
DoWup2SG,2013,1,PCO10058,9
DoWup2SG,2013,2,ECE10020,2
DoWup2SG,2013,2,GEK10002,1
DoWup2SG,2013,2,GEK10009,1
DoWup2SG,2013,2,GEK10015,1
DoWup2SG,2013,2,GEK10082,1
DoWup2SG,2013,2,GEK10097,2
DoWup2SG,2013,2,GEK20038,2
DoWup2SG,2013,2,GEK20045,5
DoWup2SG,2013,2,MEC10002,4
DoWup2SG,2013,2,PCO10052,2
DoWup2SG,2014,1,ECE20051,1
DoWup2SG,2014,1,ECE20057,1
DoWup2SG,2014,1,ECE20060,2
DoWup2SG,2014,1,ENG20021,1
DoWup2SG,2014,1,ENG20022,1
DoWup2SG,2014,1,GEK20001,1
DoWup2SG,2014,1,GEK20008,1
DoWup2SG,2014,1,ITP20001,1
DoWup2SG,2014,3,GEK10007,11
IVBlCGzo,2013,1,GEK10001,1
IVBlCGzo,2013,1,GEK10008,1
