,year,semester,subjectCode,num,time,course
220,2013,1,CSW30006,1,"Th5,Th6",CSW30006.1
221,2013,1,CSW30010,1,"M3,Th3",CSW30010.1
222,2013,1,CSW30012,1,"M5,M6",CSW30012.1
223,2013,1,CSW30017,2,"M2,M3",CSW30017.2
224,2013,1,CSW30018,1,"M5,Th5",CSW30018.1
225,2013,1,CSW30018,2,"M3,M4",CSW30018.2
226,2013,1,CSW30026,1,"M4,Th4",CSW30026.1
227,2013,1,CSW30055,1,"M2,Th2",CSW30055.1
228,2013,1,CSW30056,1,"M5,Th5",CSW30056.1
229,2013,1,CSW30077,1,"Th5,Th6",CSW30077.1
230,2013,1,CSW40010,2,"M2,Th2",CSW40010.2
231,2013,1,CSW40016,1,"M4,Th4",CSW40016.1
232,2013,1,CSW40051,1,"M6,Th6",CSW40051.1
233,2013,1,CSW40054,2,"Th7,Th8",CSW40054.2
234,2013,1,CSW40054,3,"Th7,Th8",CSW40054.3
235,2013,1,BFT20001,1,"M2,Th2",BFT20001.1
236,2013,1,BFT20001,2,"M1,Th1",BFT20001.2
237,2013,1,BFT20010,1,"M4,Th4",BFT20010.1
238,2013,1,BFT30010,1,"M8,Th8",BFT30010.1
239,2013,1,BFT30016,1,"M2,Th2",BFT30016.1
240,2013,1,BFT30020,1,"M6,Th6",BFT30020.1
241,2013,1,BFT30027,1,"M5,Th5",BFT30027.1
242,2013,1,BFT30055,1,"M9,Th9",BFT30055.1
243,2013,1,BFT40001,1,"M3,Th3",BFT40001.1
244,2013,1,BFT40005,1,"M8,Th8",BFT40005.1
245,2013,1,BFT40012,1,"M4,Th4",BFT40012.1
246,2013,1,BFT40014,1,"M2,Th2",BFT40014.1
247,2013,1,BFT40051,1,"M5,Th5",BFT40051.1
248,2013,1,ECE20010,1,"M4,Th4",ECE20010.1
249,2013,1,ECE20010,2,"M5,Th5",ECE20010.2
250,2013,1,ECE20016,2,"M6,Th6",ECE20016.2
251,2013,1,ECE20051,1,"M2,Th2",ECE20051.1
252,2013,1,ECE20057,1,"M3,Th3",ECE20057.1
253,2013,1,ECE20060,1,"M6,M7",ECE20060.1
254,2013,1,ECE20060,2,"Th6,Th7",ECE20060.2
255,2013,1,ECE30011,1,"M6,Th6",ECE30011.1
256,2013,1,ECE30012,1,"M2,Th2",ECE30012.1
257,2013,1,ECE30012,2,"M4,Th4",ECE30012.2
258,2013,1,ECE30021,1,"M3,Th3",ECE30021.1
259,2013,1,ECE30063,1,"M3,Th3",ECE30063.1
260,2013,1,ECE30075,1,"M4,M5,Th4,Th5",ECE30075.1
261,2013,1,ECE40081,1,"M5,Th5",ECE40081.1
262,2013,1,ECE40084,1,"M2,Th2",ECE40084.1
263,2013,1,ITP20003,1,"M4,Th4",ITP20003.1
264,2013,1,ITP30005,1,"M5,Th5",ITP30005.1
265,2013,1,ITP40003,1,"M4,Th4",ITP40003.1
266,2013,1,IID10004,1,"Th2,Th3",IID10004.1
267,2013,1,IID10004,2,"Th5,Th6",IID10004.2
268,2013,1,IID10005,1,"Th2,Th3",IID10005.1
269,2013,1,IID20006,3,"Th7,Th8",IID20006.3
270,2013,1,IID20013,3,"Th2,Th3",IID20013.3
271,2013,1,IID20016,1,"Th6,Th7",IID20016.1
272,2013,1,IID20016,2,"Th6,Th7",IID20016.2
273,2013,1,IID20055,3,"Th4,Th5",IID20055.3
274,2013,1,IID20061,1,"M5,M6",IID20061.1
275,2013,1,IID20061,2,"M2,M3",IID20061.2
276,2013,1,IID30003,1,"M2,M3",IID30003.1
277,2013,1,IID30003,2,"M5,M6",IID30003.2
278,2013,1,IID30011,2,"Th2,Th3",IID30011.2
279,2013,1,IID30018,1,Th5,IID30018.1
280,2013,1,IID30067,2,"M5,M6",IID30067.2
281,2013,1,IID30071,1,"M2,M3",IID30071.1
282,2013,1,IID40057,1,M9,IID40057.1
283,2013,1,IID40057,2,Th5,IID40057.2
284,2013,1,IID40057,3,Th6,IID40057.3
285,2013,1,IID40066,1,"M2,M3",IID40066.1
286,2013,1,IID40070,1,"Th2,Th3",IID40070.1
287,2013,1,IID40071,1,"M5,M6",IID40071.1
288,2013,1,HMM20011,1,"M6,Th6",HMM20011.1
289,2013,1,HMM20031,1,"M1,Th1",HMM20031.1
290,2013,1,HMM30012,1,"M2,Th2",HMM30012.1
291,2013,1,HMM30032,1,"M2,Th2",HMM30032.1
292,2013,1,HMM30053,1,"M4,Th4",HMM30053.1
293,2013,1,HMM30055,1,"M3,W7,W8",HMM30055.1
